# component	threaded_target	notes
contrib/bloom	check-threaded-contrib-bloom-run	bloom index access method regression runs under threaded_workers.conf
contrib/btree_gin	check-threaded-contrib-btree-gin-run	btree_gin regression, including all GIN operator class SQL coverage, runs under threaded_workers.conf
contrib/btree_gist	check-threaded-contrib-btree-gist-run	btree_gist regression, including all GiST operator class SQL coverage, runs under threaded_workers.conf
contrib/citext	check-threaded-contrib-citext-run	citext regression, including ACL and UTF-8 SQL coverage, runs under threaded_workers.conf
contrib/cube	check-threaded-contrib-cube-run	cube regression, including scanner/parser and scientific notation coverage, runs under threaded_workers.conf
contrib/dict_int	check-threaded-contrib-dict-int-run	dict_int text search dictionary regression runs under threaded_workers.conf
contrib/dict_xsyn	check-threaded-contrib-dict-xsyn-run	dict_xsyn text search dictionary regression runs under threaded_workers.conf
contrib/earthdistance	check-threaded-contrib-earthdistance-run	earthdistance regression runs under threaded_workers.conf
contrib/file_fdw	check-threaded-contrib-file-fdw-run	file_fdw foreign-table regression runs under threaded_workers.conf
contrib/fuzzystrmatch	check-threaded-contrib-fuzzystrmatch-run	fuzzystrmatch regression, including UTF-8 SQL coverage, runs under threaded_workers.conf
contrib/hstore	check-threaded-contrib-hstore-run	hstore regression runs under threaded_workers.conf
contrib/intagg	check-threaded-contrib-intagg-run	intagg SQL-only extension check runs in threaded-world temp install
contrib/intarray	check-threaded-contrib-intarray-run	intarray regression runs under threaded_workers.conf
contrib/isn	check-threaded-contrib-isn-run	isn regression, including isn.weak custom GUC coverage, runs under threaded_workers.conf
contrib/lo	check-threaded-contrib-lo-run	lo large-object trigger regression runs under threaded_workers.conf
contrib/ltree	check-threaded-contrib-ltree-run	ltree regression runs under threaded_workers.conf
contrib/oid2name	check-threaded-contrib-oid2name-run	oid2name client utility TAP leaf has no threaded-server dependency and runs through check-threaded-contrib
contrib/pageinspect	check-threaded-contrib-pageinspect-run	pageinspect regression runs under threaded_workers.conf
contrib/pg_buffercache	check-threaded-contrib-pg-buffercache-run	pg_buffercache shared buffer cache regressions run under threaded_workers.conf
contrib/pg_freespacemap	check-threaded-contrib-pg-freespacemap-run	pg_freespacemap regression runs with threaded_workers.conf plus its autovacuum-disabled temp config
contrib/pg_surgery	check-threaded-contrib-pg-surgery-run	pg_surgery heap surgery regression runs under threaded_workers.conf
contrib/pg_trgm	check-threaded-contrib-pg-trgm-run	pg_trgm regression, including similarity threshold custom GUC coverage, runs under threaded_workers.conf
contrib/pg_visibility	check-threaded-contrib-pg-visibility-run	pg_visibility page visibility regression runs under threaded_workers.conf
contrib/pg_walinspect	check-threaded-contrib-pg-walinspect-run	pg_walinspect regression runs with threaded_workers.conf plus walinspect WAL temp config
contrib/pgrowlocks	check-threaded-contrib-pgrowlocks-run	pgrowlocks isolation test runs under threaded_workers.conf
contrib/pgstattuple	check-threaded-contrib-pgstattuple-run	pgstattuple regression runs under threaded_workers.conf
contrib/seg	check-threaded-contrib-seg-run	seg regression, including parser, security, and partition coverage, runs under threaded_workers.conf
contrib/spi	check-threaded-contrib-spi-run	spi trigger/SPI regression runs under threaded_workers.conf with session-local refint plan cache state
contrib/tablefunc	check-threaded-contrib-tablefunc-run	tablefunc set-returning and crosstab regression runs under threaded_workers.conf
contrib/tcn	check-threaded-contrib-tcn-run	tcn trigger notification isolation test runs under threaded_workers.conf
contrib/tsm_system_rows	check-threaded-contrib-tsm-system-rows-run	tsm_system_rows TABLESAMPLE regression runs under threaded_workers.conf
contrib/tsm_system_time	check-threaded-contrib-tsm-system-time-run	tsm_system_time TABLESAMPLE regression runs under threaded_workers.conf
contrib/unaccent	check-threaded-contrib-unaccent-run	unaccent text search dictionary regression runs under threaded_workers.conf
contrib/vacuumlo	check-threaded-contrib-vacuumlo-run	vacuumlo client utility TAP leaf has no threaded-server dependency and runs through check-threaded-contrib
src/bin/pg_archivecleanup	check-threaded-bin-pg-archivecleanup	pg_archivecleanup check-world TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_checksums	check-threaded-bin-pg-checksums	pg_checksums offline data-directory TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_config	check-threaded-bin-pg-config	pg_config client-side configuration TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_controldata	check-threaded-bin-pg-controldata	pg_controldata offline control-file TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_resetwal	check-threaded-bin-pg-resetwal	pg_resetwal offline WAL-control TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_test_fsync	check-threaded-bin-pg-test-fsync	pg_test_fsync utility TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_test_timing	check-threaded-bin-pg-test-timing	pg_test_timing utility TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_waldump	check-threaded-bin-pg-waldump	pg_waldump offline WAL-reader TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/bin/pg_walsummary	check-threaded-bin-pg-walsummary	pg_walsummary offline WAL-summary TAP leaf has no threaded-server dependency and runs through check-threaded-bin
src/pl/plpgsql/src	check-threaded-plpgsql	PL/pgSQL regression runs under threaded_workers.conf
src/test/isolation	check-threaded-src-test-isolation	full isolation suite runs under threaded_workers.conf
src/test/modules/test_backend_runtime	check-threaded-test-backend-runtime	backend runtime SQL and TAP fixtures cover core threaded runtime
src/test/regress	check-threaded-src-test-regress	core threaded regression runs under threaded_workers.conf
src/tools/pg_bsd_indent	check-threaded-tools-pg-bsd-indent	pg_bsd_indent tool TAP leaf has no threaded-server dependency and runs through check-threaded-tools
